,outcome,redTeam1,redTeam1R,redTeam2,redTeam2R,redTeam3,redTeam3R,redTeam4,redTeam4R,redTeam5,redTeam5R,blueTeam1,blueTeam1R,blueTeam2,blueTeam2R,blueTeam3,blueTeam3R,blueTeam4,blueTeam4R,blueTeam5,blueTeam5R
0,1,111,UTILITY,30,JUNGLE,42,MIDDLE,221,BOTTOM,67,TOP,82,TOP,143,JUNGLE,86,MIDDLE,222,BOTTOM,201,UTILITY
0,0,41,TOP,131,JUNGLE,18,MIDDLE,202,BOTTOM,432,UTILITY,79,TOP,102,JUNGLE,42,MIDDLE,81,BOTTOM,201,UTILITY
0,0,68,TOP,77,JUNGLE,777,MIDDLE,222,BOTTOM,432,UTILITY,75,TOP,104,JUNGLE,136,MIDDLE,99,BOTTOM,89,UTILITY
0,1,122,TOP,421,JUNGLE,711,MIDDLE,22,BOTTOM,201,UTILITY,897,TOP,2,JUNGLE,142,MIDDLE,145,BOTTOM,111,UTILITY
0,1,36,TOP,63,JUNGLE,42,MIDDLE,145,BOTTOM,526,UTILITY,69,TOP,121,JUNGLE,163,MIDDLE,81,BOTTOM,12,UTILITY
0,1,24,TOP,876,JUNGLE,134,MIDDLE,222,BOTTOM,111,UTILITY,30,JUNGLE,266,TOP,18,MIDDLE,523,BOTTOM,89,UTILITY
0,1,4,TOP,76,JUNGLE,21,MIDDLE,101,BOTTOM,12,UTILITY,98,TOP,30,JUNGLE,18,MIDDLE,51,BOTTOM,89,UTILITY
0,0,86,MIDDLE,63,JUNGLE,68,TOP,221,BOTTOM,201,UTILITY,17,TOP,254,JUNGLE,42,MIDDLE,498,BOTTOM,111,UTILITY
0,1,517,TOP,254,JUNGLE,7,MIDDLE,202,BOTTOM,89,UTILITY,150,TOP,113,JUNGLE,134,MIDDLE,81,BOTTOM,201,UTILITY
0,0,8,TOP,107,JUNGLE,115,MIDDLE,96,BOTTOM,902,UTILITY,164,MIDDLE,76,JUNGLE,81,TOP,99,BOTTOM,111,UTILITY
0,1,17,TOP,120,JUNGLE,81,MIDDLE,202,BOTTOM,432,UTILITY,240,TOP,200,JUNGLE,103,MIDDLE,99,BOTTOM,555,UTILITY
0,1,24,TOP,30,JUNGLE,777,MIDDLE,81,BOTTOM,89,UTILITY,240,TOP,120,JUNGLE,42,MIDDLE,901,BOTTOM,910,UTILITY
0,1,68,TOP,77,JUNGLE,238,MIDDLE,202,BOTTOM,432,UTILITY,13,TOP,876,JUNGLE,497,UTILITY,29,BOTTOM,39,MIDDLE
0,1,106,TOP,121,JUNGLE,61,MIDDLE,222,BOTTOM,12,UTILITY,163,MIDDLE,76,JUNGLE,58,TOP,360,BOTTOM,89,UTILITY
0,0,516,TOP,5,JUNGLE,42,MIDDLE,115,BOTTOM,432,UTILITY,68,TOP,141,JUNGLE,69,MIDDLE,202,BOTTOM,26,UTILITY
0,0,84,TOP,121,JUNGLE,33,MIDDLE,81,BOTTOM,432,UTILITY,68,TOP,5,JUNGLE,222,BOTTOM,42,MIDDLE,37,UTILITY
0,1,78,TOP,63,JUNGLE,18,MIDDLE,147,BOTTOM,111,UTILITY,897,TOP,245,JUNGLE,202,MIDDLE,145,BOTTOM,497,UTILITY
0,1,122,TOP,63,JUNGLE,166,MIDDLE,498,BOTTOM,111,UTILITY,266,TOP,77,JUNGLE,518,MIDDLE,236,BOTTOM,267,UTILITY
0,0,79,TOP,234,JUNGLE,236,MIDDLE,901,BOTTOM,432,UTILITY,107,TOP,9,JUNGLE,42,MIDDLE,145,BOTTOM,117,UTILITY
0,0,24,TOP,163,JUNGLE,950,MIDDLE,145,BOTTOM,526,UTILITY,10,TOP,143,JUNGLE,42,MIDDLE,89,UTILITY,81,BOTTOM
0,0,897,TOP,63,JUNGLE,236,MIDDLE,145,BOTTOM,89,UTILITY,68,TOP,113,JUNGLE,777,MIDDLE,202,BOTTOM,201,UTILITY
0,1,68,TOP,113,JUNGLE,777,MIDDLE,429,BOTTOM,26,UTILITY,24,TOP,76,JUNGLE,268,MIDDLE,81,BOTTOM,72,UTILITY
0,1,84,TOP,91,JUNGLE,18,MIDDLE,147,BOTTOM,37,UTILITY,75,TOP,113,JUNGLE,42,MIDDLE,99,BOTTOM,111,UTILITY
0,1,58,TOP,18,MIDDLE,163,JUNGLE,145,BOTTOM,78,UTILITY,2,TOP,63,JUNGLE,42,MIDDLE,22,BOTTOM,910,UTILITY
0,1,24,TOP,83,JUNGLE,131,MIDDLE,221,BOTTOM,117,UTILITY,142,TOP,91,JUNGLE,711,MIDDLE,81,BOTTOM,43,UTILITY
0,1,13,TOP,120,JUNGLE,517,MIDDLE,22,BOTTOM,201,UTILITY,80,MIDDLE,121,JUNGLE,10,TOP,222,BOTTOM,111,UTILITY
0,0,17,TOP,121,JUNGLE,517,MIDDLE,523,BOTTOM,267,UTILITY,68,TOP,221,MIDDLE,427,JUNGLE,222,BOTTOM,526,UTILITY
0,1,58,TOP,234,JUNGLE,8,MIDDLE,99,BOTTOM,111,UTILITY,150,TOP,421,JUNGLE,142,MIDDLE,81,BOTTOM,432,UTILITY
0,1,36,TOP,20,JUNGLE,517,MIDDLE,145,BOTTOM,78,UTILITY,6,TOP,143,JUNGLE,238,MIDDLE,222,BOTTOM,111,UTILITY
0,0,10,TOP,64,JUNGLE,518,MIDDLE,236,BOTTOM,201,UTILITY,6,TOP,35,JUNGLE,7,MIDDLE,81,BOTTOM,89,UTILITY
0,0,266,TOP,20,JUNGLE,163,MIDDLE,222,BOTTOM,111,UTILITY,62,TOP,120,JUNGLE,7,MIDDLE,145,BOTTOM,89,UTILITY
0,1,78,TOP,76,JUNGLE,42,MIDDLE,236,BOTTOM,147,UTILITY,111,TOP,64,JUNGLE,81,MIDDLE,29,BOTTOM,26,UTILITY
0,0,117,TOP,113,JUNGLE,81,MIDDLE,21,BOTTOM,44,UTILITY,78,TOP,76,JUNGLE,236,MIDDLE,119,BOTTOM,111,UTILITY
0,1,150,TOP,56,JUNGLE,7,MIDDLE,119,BOTTOM,267,UTILITY,887,TOP,234,JUNGLE,78,MIDDLE,202,BOTTOM,111,UTILITY
