,outcome,redTeam,blueTeam,Role
0,1,79,164,JUNGLE
0,1,40,157,UTILITY
0,1,222,221,BOTTOM
0,1,517,902,MIDDLE
0,1,24,23,TOP
0,1,9,35,JUNGLE
0,1,126,61,MIDDLE
0,1,22,895,BOTTOM
0,1,518,143,UTILITY
0,1,41,24,TOP
0,1,33,120,JUNGLE
0,1,18,55,MIDDLE
0,1,115,145,BOTTOM
0,1,111,147,UTILITY
0,1,24,103,TOP
0,1,143,104,JUNGLE
0,1,42,81,MIDDLE
0,1,523,21,BOTTOM
0,1,517,432,UTILITY
0,1,164,266,TOP
0,1,200,121,JUNGLE
0,1,126,99,MIDDLE
0,1,21,18,BOTTOM
0,1,37,518,UTILITY
0,1,68,85,TOP
0,1,120,254,JUNGLE
0,1,61,42,MIDDLE
0,1,81,21,BOTTOM
0,1,267,497,UTILITY
