,0
1054,NA1_5033078483
1055,NA1_5033053215
1056,NA1_5033035930
1057,NA1_5033013896
1058,NA1_5032992956
1059,NA1_5032974342
1060,NA1_5039109656
1061,NA1_5038691126
1062,NA1_5034466322
1063,NA1_5034427474
1064,NA1_5034105751
1065,NA1_5034093744
1066,NA1_5033946685
1067,NA1_5033785405
1068,NA1_5033753650
1069,NA1_5033741792
1070,NA1_5033604145
1071,NA1_5033556028
1072,NA1_5036715824
1073,NA1_5036702019
1074,NA1_5036648073
1075,NA1_5036255442
1076,NA1_5036140072
1077,NA1_5036120589
1078,NA1_5036102435
1079,NA1_5036081524
1080,NA1_5030642531
1081,NA1_5030608604
1082,NA1_5030545862
1083,NA1_5030537873
1084,NA1_5030470699
1085,NA1_5037043048
1086,NA1_5037032406
1087,NA1_5029916034
1088,NA1_5029882686
1089,NA1_5029852721
1090,NA1_5029835727
1091,NA1_5029813348
1092,NA1_5029795843
1093,NA1_5029772169
1094,NA1_5029041933
1095,NA1_5029028204
1096,NA1_5029021486
1097,NA1_5029017277
1098,NA1_5029009571
1099,NA1_5029003734
1100,NA1_5029000071
1101,NA1_5028994206
1102,NA1_5028974471
1103,NA1_5028955460
1104,NA1_5028945970
1105,NA1_5028926411
1106,NA1_5033873633
1107,NA1_5032725706
1108,NA1_5032711181
1109,NA1_5032681009
1110,NA1_5032284091
1111,NA1_5032266126
1112,NA1_5032123752
1113,NA1_5031920523
1114,NA1_5031884052
1115,NA1_5029798540
1116,NA1_5028094820
1117,NA1_5027953333
1118,NA1_5026464607
1119,NA1_5026458833
1120,NA1_5026423666
1121,NA1_5026411740
1122,NA1_5026373570
1123,NA1_5026039330
1124,NA1_5026021975
1125,NA1_5025733766
1126,NA1_5025705842
1127,NA1_5036574294
1128,NA1_5036557816
1129,NA1_5035961730
1130,NA1_5035950428
1131,NA1_5035412717
1132,NA1_5034692684
1133,NA1_5034162295
1134,NA1_5034126426
1135,NA1_5034113437
1136,NA1_5032919392
1137,NA1_5032904177
1138,NA1_5032879114
1139,NA1_5032352846
1140,NA1_5031328514
1141,NA1_5031061939
1142,NA1_5028979256
1143,NA1_5028292977
1144,NA1_5028273956
1145,NA1_5028257164
1146,NA1_5028213430
1147,NA1_5028158973
1148,NA1_5027334556
1149,NA1_5027298948
1150,NA1_5027261877
1151,NA1_5026849853
1152,NA1_5026741242
1153,NA1_5026671842
1154,NA1_5025933524
1155,NA1_5025735925
1156,NA1_5025705189
1157,NA1_5025655424
1158,NA1_5025510017
1159,NA1_5025212403
1160,NA1_5025194212
1161,NA1_5024961830
1162,NA1_5024825862
1163,NA1_5024717095
1164,NA1_5037398225
1165,NA1_5036936595
1166,NA1_5036704537
1167,NA1_5036398516
1168,NA1_5035809742
1169,NA1_5035758412
1170,NA1_5035679497
1171,NA1_5035216268
1172,NA1_5034958127
1173,NA1_5037890158
1174,NA1_5037096833
1175,NA1_5036490041
1176,NA1_5033588488
1177,NA1_5032309270
1178,NA1_5032288670
1179,NA1_5031734288
1180,NA1_5030369429
1181,NA1_5030155787
1182,NA1_5029780868
1183,NA1_5029108371
1184,NA1_5029090442
1185,NA1_5027908426
1186,NA1_5027891747
1187,NA1_5026810469
1188,NA1_5026771201
1189,NA1_5026739319
1190,NA1_5026618993
1191,NA1_5026564203
1192,NA1_5037292245
1193,NA1_5037162584
1194,NA1_5037139293
1195,NA1_5037124931
1196,NA1_5036789711
1197,NA1_5036695025
1198,NA1_5036527831
1199,NA1_5036507656
1200,NA1_5036001985
1201,NA1_5035590499
1202,NA1_5035557431
1203,NA1_5035062323
1204,NA1_5035030203
1205,NA1_5034837165
1206,NA1_5036216436
1207,NA1_5036168349
1208,NA1_5030807881
1209,NA1_5030778790
1210,NA1_5027508210
1211,NA1_5027115976
1212,NA1_5027002728
1213,NA1_5026717762
1214,NA1_5025327116
1215,NA1_5024751229
1216,NA1_5024625749
1217,NA1_5024524075
1218,NA1_5024171730
1219,NA1_5023621392
1220,NA1_5023576943
1221,NA1_5023323202
1222,NA1_5023196532
1223,NA1_5023060522
1224,NA1_5023046093
1225,NA1_5022934069
1226,NA1_5039198230
1227,NA1_5039014993
1228,NA1_5038620743
1229,NA1_5038466710
1230,NA1_5038074914
1231,NA1_5038048976
1232,NA1_5037817041
1233,NA1_5037767020
1234,NA1_5039017663
1235,NA1_5037752581
1236,NA1_5036736939
1237,NA1_5036554646
1238,NA1_5036264865
1239,NA1_5035961840
1240,NA1_5035725554
1241,NA1_5035696102
1242,NA1_5035489952
1243,NA1_5034834112
1244,NA1_5034804700
1245,NA1_5034114800
1246,NA1_5033293394
1247,NA1_5033256507
